产品类型,产品描述,价格,生产日期,质保期,
电子产品,智能手机，64GB存储，5.5英寸屏,2500¥,2024/10/9,2年,
食品,有机燕麦片，净含量500g,30¥,2025/1/7,1年,
服装,男士T恤，纯棉，黑色，XL号,120¥,2024/9/10,无,
家居用品,不锈钢保温杯，500ml,60¥,2024/10/14,6个月,
书籍,科幻小说《银河帝国》,40¥,2024/5/2,无,
电子产品,无线蓝牙耳机，可降噪,120¥,2024/10/21,6个月,
食品,黑巧克力，85%可可，100g,30¥,2024/4/30,1年,
服装,女士连衣裙，碎花图案，M号,100¥,2024/9/24,无,
家居用品,陶瓷餐具套装，20件套,300¥,2024/10/9,无,
书籍,心理学书籍《思考，快与慢》,30¥,2023/7/1,无,
电子产品,平板电脑，10英寸，128GB存储,2400¥,2024/6/7,2年,
食品,坚果混合装，500g,49.9¥,2025/1/6,6个月,
服装,儿童运动鞋，蓝色，尺码28,77¥,2024/2/16,无,
家居用品,记忆枕头，护颈设计,60¥,2024/3/7,6个月,
书籍,历史书籍《人类简史》,22¥,2023/9/10,无,
电子产品,智能手表，心率监测，GPS功能,499¥,2025/1/6,2年,
食品,速溶咖啡，100条装,29.9¥,2024/9/18,1年,
服装,男士牛仔裤，直筒，深蓝色，32码,129¥,2024/3/15,无,
家居用品,空气净化器，适用于30平米空间,399¥,2024/9/26,1年,
